,Unnamed: 0,Start Time,End Time,Trip Duration,Start Station,End Station,User Type,Gender,Birth Year
0,5688089,2017-06-11 14:55:05,2017-06-11 15:08:21,795,Suffolk St & Stanton St,W Broadway & Spring St,Subscriber,Male,1998.0
1,4096714,2017-05-11 15:30:11,2017-05-11 15:41:43,692,Lexington Ave & E 63 St,1 Ave & E 78 St,Subscriber,Male,1981.0
2,2173887,2017-03-29 13:26:26,2017-03-29 13:48:31,1325,1 Pl & Clinton St,Henry St & Degraw St,Subscriber,Male,1987.0
3,3945638,2017-05-08 19:47:18,2017-05-08 19:59:01,703,Barrow St & Hudson St,W 20 St & 8 Ave,Subscriber,Female,1986.0
4,6208972,2017-06-21 07:49:16,2017-06-21 07:54:46,329,1 Ave & E 44 St,E 53 St & 3 Ave,Subscriber,Male,1992.0
5,1285652,2017-02-22 18:55:24,2017-02-22 19:12:03,998,State St & Smith St,Bond St & Fulton St,Subscriber,Male,1986.0
6,1675753,2017-03-06 16:22:53,2017-03-06 16:30:51,478,Front St & Gold St,Lafayette Ave & Fort Greene Pl,Subscriber,Male,1982.0
7,1692245,2017-03-07 07:42:24,2017-03-07 08:49:42,4038,E 89 St & York Ave,Broadway & Battery Pl,Subscriber,Male,1984.0
8,2271331,2017-04-02 08:02:36,2017-04-02 09:28:08,5132,Central Park S & 6 Ave,Central Park S & 6 Ave,Customer,,
9,1558339,2017-03-01 23:01:31,2017-03-01 23:06:41,309,E 3 St & 1 Ave,E 25 St & 2 Ave,Subscriber,Male,1992.0
10,2287178,2017-04-02 14:37:20,2017-04-02 14:56:12,1131,Bank St & Washington St,Little West St & 1 Pl,Customer,,
11,2744874,2017-04-13 13:40:39,2017-04-13 13:45:59,319,Front St & Maiden Ln,Liberty St & Broadway,Subscriber,Male,1955.0
12,3398180,2017-04-27 23:27:31,2017-04-28 00:05:53,2301,E 10 St & 5 Ave,Columbus Ave & W 72 St,Subscriber,Male,1971.0
13,991609,2017-02-13 15:40:53,2017-02-13 16:00:26,1172,1 Ave & E 68 St,E 47 St & Park Ave,Subscriber,Male,1993.0
14,1512596,2017-02-28 19:26:43,2017-02-28 19:35:21,518,N 11 St & Wythe Ave,Bushwick Ave & Powers St,Subscriber,Male,1983.0
15,187466,2017-01-11 11:30:30,2017-01-11 11:35:15,285,E 17 St & Broadway,W 17 St & 8 Ave,Subscriber,Male,1972.0
16,2195658,2017-03-29 20:19:44,2017-03-29 20:24:07,263,State St & Smith St,Johnson St & Gold St,Subscriber,Male,1982.0
17,6388534,2017-06-23 21:21:59,2017-06-23 21:30:45,525,E 2 St & Avenue C,E 11 St & 2 Ave,Subscriber,Female,1997.0
18,4733837,2017-05-24 08:53:32,2017-05-24 09:04:30,658,Central Park West & W 76 St,E 72 St & York Ave,Subscriber,Male,1979.0
19,5857,2017-01-01 13:32:39,2017-01-01 13:49:57,1038,W 22 St & 8 Ave,W 45 St & 6 Ave,Customer,,
20,1132766,2017-02-18 13:29:08,2017-02-18 13:30:31,82,E 71 St & 1 Ave,1 Ave & E 68 St,Subscriber,Male,1983.0
21,3358474,2017-04-27 09:44:35,2017-04-27 09:48:00,204,University Pl & E 14 St,Washington Pl & Broadway,Subscriber,Male,1988.0
22,1778858,2017-03-09 11:15:39,2017-03-09 11:29:03,803,E 25 St & 2 Ave,Suffolk St & Stanton St,Subscriber,Female,1978.0
23,2497952,2017-04-08 13:39:48,2017-04-08 14:04:24,1476,Dean St & Hoyt St,Plaza St West & Flatbush Ave,Customer,,
